log目录,policy,在线测试任务信息,数据块信息,历史任务信息,Online job num,Max-min Ratio,change_job_epsilon_max_times,Offline history job num,Beta,Datablock num,Offline datablock num,change_datablock_epsilon_max_times,Success num,Failed num,Mean Significance (ALL),Mean Significance (Success),Success Datablock Num,Failed Datablock Num,Target Datablock Num
schedule-review-simulation-05-17-15-41-42,IterativeHISwithOrderPolicy(100),schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,250,0.1,1,0,0,100,100,1,nan,nan,nan,nan,nan,nan,nan
schedule-review-simulation-05-17-15-42-17,HISwithOrderProVersionPolicy,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,250,0.1,1,250,0,100,100,1,nan,nan,nan,nan,nan,nan,nan
schedule-review-simulation-05-17-15-42-46,PBGPolicy,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,250,0.1,1,0,0,100,100,1,nan,nan,nan,nan,nan,nan,nan
schedule-review-simulation-05-17-15-43-21,PBGMixPolicy,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,250,0.1,1,0,0,100,100,1,nan,nan,nan,nan,nan,nan,nan
schedule-review-simulation-05-17-15-43-54,SagewithRemainPolicy,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,250,0.1,1,0,0,100,100,1,nan,nan,nan,nan,nan,nan,nan
schedule-review-simulation-05-17-15-44-22,BestFitwithRemainPolicy,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,250,0.1,1,0,0,100,100,1,nan,nan,nan,nan,nan,nan,nan
schedule-review-simulation-05-17-15-44-47,OfflinePolicy,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,250,0.1,1,0,0,100,100,1,nan,nan,nan,nan,nan,nan,nan
schedule-review-simulation-05-17-15-45-29,IterativeHISwithOrderPolicy(100),schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,500,0.1,1,0,0,100,100,1,nan,nan,nan,nan,nan,nan,nan
schedule-review-simulation-05-17-15-45-59,HISwithOrderProVersionPolicy,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,500,0.1,1,500,0,100,100,1,nan,nan,nan,nan,nan,nan,nan
schedule-review-simulation-05-17-15-47-00,PBGPolicy,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,500,0.1,1,0,0,100,100,1,nan,nan,nan,nan,nan,nan,nan
schedule-review-simulation-05-17-15-47-29,PBGMixPolicy,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,500,0.1,1,0,0,100,100,1,nan,nan,nan,nan,nan,nan,nan
schedule-review-simulation-05-17-15-47-56,SagewithRemainPolicy,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,500,0.1,1,0,0,100,100,1,nan,nan,nan,nan,nan,nan,nan
schedule-review-simulation-05-17-15-48-31,BestFitwithRemainPolicy,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,500,0.1,1,0,0,100,100,1,nan,nan,nan,nan,nan,nan,nan
schedule-review-simulation-05-17-15-48-58,OfflinePolicy,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,500,0.1,1,0,0,100,100,1,nan,nan,nan,nan,nan,nan,nan
